Clothing ID,Age,Title,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
767,33,,4,1,0,Initmates,Intimate,Intimates
1080,34,,5,1,4,General,Dresses,Dresses
1077,60,Some major design flaws,3,0,0,General,Dresses,Dresses
1049,50,My favorite buy!,5,1,0,General Petite,Bottoms,Pants
847,47,Flattering shirt,5,1,6,General,Tops,Blouses
1080,49,Not for the very petite,2,0,4,General,Dresses,Dresses
858,39,Cagrcoal shimmer fun,5,1,1,General Petite,Tops,Knits
858,39,"Shimmer, surprisingly goes with lots",4,1,4,General Petite,Tops,Knits
1077,24,Flattering,5,1,0,General,Dresses,Dresses
1077,34,Such a fun dress!,5,1,0,General,Dresses,Dresses
1077,53,Dress looks like it's made of cheap material,3,0,14,General,Dresses,Dresses
1095,39,,5,1,2,General Petite,Dresses,Dresses
1095,53,Perfect!!!,5,1,2,General Petite,Dresses,Dresses
767,44,Runs big,5,1,0,Initmates,Intimate,Intimates
1077,50,Pretty party dress with some issues,3,1,1,General,Dresses,Dresses
1065,47,"Nice, but not for my body",4,1,3,General,Bottoms,Pants
1065,34,"You need to be at least average height, or taller",3,1,2,General,Bottoms,Pants
853,41,Looks great with white pants,5,1,0,General,Tops,Blouses
1120,32,Super cute and cozy,5,1,0,General,Jackets,Outerwear
1077,47,Stylish and comfortable,5,1,0,General,Dresses,Dresses
847,33,"Cute, crisp shirt",4,1,2,General,Tops,Blouses
1080,55,I'm torn!,4,1,14,General,Dresses,Dresses
1077,31,Not what it looks like,2,0,7,General,Dresses,Dresses
1077,34,"Like it, but don't love it.",3,1,0,General,Dresses,Dresses
847,55,Versatile,5,1,0,General,Tops,Blouses
697,31,Falls flat,3,0,0,Initmates,Intimate,Lounge
949,33,Huge disappointment,2,0,0,General,Tops,Sweaters
1003,31,"Loved, but returned",4,1,0,General,Bottoms,Skirts
684,53,Great shirt!!!,5,1,2,Initmates,Intimate,Lounge
4,28,Great layering piece,5,1,0,General,Tops,Sweaters
1060,33,,5,1,0,General Petite,Bottoms,Pants
1060,46,Cuter in oerson!,5,1,7,General Petite,Bottoms,Pants
1060,21,Love these pants,5,1,0,General Petite,Bottoms,Pants
949,36,Mehh,2,0,0,General,Tops,Sweaters
